id,smiles
110,Cc1cc(C)cc(OCC2CNC(=O)O2)c1
111,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1
112,CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C
113,CC[NH+](CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
114,CC(C)c1nc(CN(C)C(=O)NC(C(=O)NC(Cc2ccccc2)CC(O)C(Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1
115,CC12CCC(=O)C=C1C1CC1C1C2CCC2(C)C1C1CC1C21CCC(=O)O1
116,CCCC1OC2CC3C4CCC5=CC(=O)C=CC5(C)C4C(O)CC3(C)C2(C(=O)CO)O1
117,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)[N-]C(=O)NC3CCCCC3)cc2)cn1
118,O=C1C(CCS(=O)c2ccccc2)C(=O)N(c2ccccc2)N1c1ccccc1
119,CCc1cccc2c3c([nH]c12)C(CC)(CC(=O)[O-])OCC3
120,CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)[O-])CC1
121,CC(c1ncncc1F)C(O)(Cn1cncn1)c1ccc(F)cc1F
122,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1)C(C(=O)[O-])C(C)C
123,CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1
124,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1
125,O=C(NC(Cc1cc(=O)[nH]c2ccccc12)C(=O)[O-])c1ccc(Cl)cc1
126,CNC(=C[N+](=O)[O-])NCCSCc1csc(C[NH+](C)C)n1
127,CC(CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)CC2[NH+](C)C1
128,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CC[NH+](CCO)CC2)n1
129,COc1cc(NC(C)CCC[NH3+])c2ncccc2c1
130,COC12CC(COC(=O)c3cncc(Br)c3)C[NH+](C)C1Cc1cn(C)c3cccc2c13
131,CC1CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC2(C)C1(O)C(=O)CO
132,C[NH+]1CC(C(=O)NC2(C)OC3(O)C4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)CC21
133,C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5
134,O=C1NCC2(CC[NH+](CCc3ccccc3)CC2)O1
135,COc1ccc2c3c1OC1CC(O)C=CC31CC[NH+](C)C2
136,CC(C)[NH2+]CC(O)c1ccc(NS(C)(=O)=O)cc1
137,CC(=O)OCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
138,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
139,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O
140,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1
141,Nc1nc2ccc(OC(F)(F)F)cc2s1
142,COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1
143,CCC(=O)NCCC1CCc2ccc3c(c21)CCO3
144,CC(=O)OC1(C(C)=O)CCC2C3C=C(Cl)C4=CC(=O)C5CC5C4(C)C3CCC21C
145,O=C([O-])CCc1nc(-c2ccccc2)c(-c2ccccc2)o1
146,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)[O-])C1=O
147,COC1=CC(=O)CC(C)C12Oc1c(Cl)c(OC)cc(OC)c1C2=O
148,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)[O-])CC2CCCCC21
149,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)[O-]
150,O=C([O-])COCC[NH+]1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
151,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
152,Cc1ccc(S(=O)(=O)[N-]C(=O)NN2CCCCCC2)cc1
153,CC(C(=O)[O-])c1ccc2c(c1)Cc1cccnc1O2
154,CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O
155,CCCc1nc2c(C)cc(-c3nc4ccccc4n3C)cc2n1Cc1ccc(-c2ccccc2C(=O)[O-])cc1
156,C[NH+]1CCCC1CCOC(C)(c1ccccc1)c1ccc(Cl)cc1
157,CN(C)C(=O)C(CC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1
158,CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C
159,CCC(COC(=O)c1cc(OC)c(OC)c(OC)c1)(c1ccccc1)N(C)C
160,CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1
161,OCC[NH+]1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1
162,COc1ccc(C2Sc3ccccc3N(CC[NH+](C)C)C(=O)C2OC(C)=O)cc1
163,C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC
164,CC(=O)OCC(=O)C12[NH+]=C(C)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3C(O)CC12C
165,CC(=O)OCC(=O)C1(OC(C)=O)C(C)CC2C3CC(F)C4=CC(=O)C=CC4(C)C3(F)C(O)CC21C
166,CC#CCn1c(N2CCCC([NH3+])C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C
167,CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1
168,C[NH2+]CCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
169,COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2
170,CC(C)CC1C(=O)N2CCCC2C2(O)OC(NC(=O)C3C=C4c5cccc6[nH]c(Br)c(c56)CC4[NH+](C)C3)(C(C)C)C(=O)N12
171,CC(=O)SCC(Cc1ccccc1)C(=O)NCC(=O)OCc1ccccc1
172,CC(=O)OCC(=O)NCCCOc1cccc(C[NH+]2CCCCC2)c1
173,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O
174,N#Cc1ccc2[nH]cc(CCCC[NH+]3CCN(c4ccc5oc(C(N)=O)cc5c4)CC3)c2c1
175,C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C
